"Common name","Scientific name",Subspecies,Recordist,Date,Time,Location,Country,Latitude,Longitude,Elevation,Songtype,Remarks,Back_latin,"Catalogue number",License
"Red-rumped Swallow","Cecropis daurica",,"Bram Piot",2022-01-25,08:30,"Nong Khouay wetlands south, Vientiane Province",Laos,18.3861,102.4995,170,call,"Small group calling while sitting on wires and flying around

bird-seen:yes

playback-used:no",,700182,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Sreekumar Chirukandoth",2021-11-21,07:30,"Mangalam R.F., Vellore, Tamil Nadu",India,12.584,78.6526,1000,"adult, call, sex uncertain","A pair of birds were perched on a powerline...frequently chirping. <https://ebird.org/checklist/S97864830>

bird-seen:yes

playback-used:no","Passer domesticus",697566,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Sreekumar Chirukandoth",2021-11-21,07:30,"Mangalam R.F., Vellore, Tamil Nadu",India,12.584,78.6526,1000,"adult, call, sex uncertain","A pair of birds were perched on a powerline...frequently chirping. <https://ebird.org/checklist/S97864830>

bird-seen:yes

playback-used:no",,697564,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Sreekumar Chirukandoth",2021-11-21,07:30,"Mangalam R.F., Vellore, Tamil Nadu",India,12.584,78.6526,1000,"adult, call, sex uncertain","A pair of birds were perched on a powerline...frequently chirping. <https://ebird.org/checklist/S97864830>

bird-seen:no

playback-used:no",,697563,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Sreekumar Chirukandoth",2021-11-21,07:30,"Mangalam R.F., Vellore, Tamil Nadu",India,12.584,78.6526,1000,"adult, call, sex uncertain","A pair of birds were perched on a powerline...frequently chirping. <https://ebird.org/checklist/S97864830>

bird-seen:no

playback-used:no","Passer domesticus",697562,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Sreekumar Chirukandoth",2021-11-21,07:30,"Mangalam R.F., Vellore, Tamil Nadu",India,12.584,78.6526,1000,"adult, call, sex uncertain","A pair of birds were perched on a powerline...frequently chirping. <https://ebird.org/checklist/S97864830>

bird-seen:no

playback-used:no",,697561,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Sreekumar Chirukandoth",2021-11-21,06:30,"Mangalam R.F., Vellore, Tamil Nadu",India,12.584,78.6526,1000,"adult, call, sex uncertain","A pair of birds were perched on a powerline...frequently chirping. <https://ebird.org/checklist/S97864830>

bird-seen:no

playback-used:no",,697560,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Paulo Alves",2021-03-07,13:00,"Belver (near  Amieira do Tejo), Gavião, Portalegre District",Portugal,39.493,-7.8924,240,"alarm call, flight call, song","

bird-seen:yes

playback-used:no",,627383,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Rombout de Wijs",2011-05-00,?,"Monfragüe, Extremadura",Spain,39.80801,-5.9333,280,song,"from:""Extremadura"", 2011, Rombout de Wijs.

bird-seen:yes

playback-used:no","Delichon urbicum,Parus major,Certhia brachydactyla",611239,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Eduardo Realinho",2020-09-07,14:30,"Hoya de Huesca/Plana de Uesca (near  Agüero), Huesca, Aragón",Spain,42.3534,-0.7945,650,"flight call","High-pass 1500hz

Noise-reduction -5db

Normalized -6db

bird-seen:yes

playback-used:no",,587199,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Jordi Calvet",2020-08-21,12:00,"Bellaguarda, Les Garrigues, Catalunya",Spain,41.3359,0.737,650,"adult, flight call, sex uncertain","Windy

bird-seen:yes

playback-used:no",,585423,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Antonio Xeira",2020-07-03,16:30,"Ervedal, Avis, Portalegre",Portugal,39.0275,-7.8178,200,"adult, call, sex uncertain","Call heard often, this time of day, around occupied nest.  Both birds of the couple silent when perched on the wire and when one  flew away, the call, by the the one that stayed perched, was heard when the other return to the area. Probably a contact/recognition call.

Editing: Some amplification.
Equipment: Olympus LS-12 digital recorder with Wildtronics Mono amplified parabolic microphone.


bird-seen:yes

playback-used:no","Carduelis carduelis",573328,//creativecommons.org/licenses/by-nc-nd/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Peter Boesman",2019-11-01,18:00,"Magamba forest reserve, Tanga",Tanzania,-4.7273,38.2506,,call,"Call in flight",,509985,//creativecommons.org/licenses/by-nc-nd/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Tom Tarrant",2009-01-01,08:30,"Mossman, Douglas Shire, Queensland",Australia,-16.443,145.3782,10,song,"Originally filmed on New Years Day 2009 near Mossman in North Queensland
(see https://youtu.be/TJ0DTLhjuFc)

bird-seen:yes

playback-used:no",,502701,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Stein Ø. Nilsen",2018-12-26,13:00,"Igumbilo Ranch, Makete, Njombe, Mbeya Region",Tanzania,-9.2088,34.3008,2600,"call, flight call","Zoom H5 Telinga

bird-seen:no

playback-used:no",,493838,//creativecommons.org/licenses/by-nc-sa/4.0/
